Problem,Objective Function,Elapsed Time
mmmm_1,3787.762148476653,19.218209981918335
mmmm_1,3336.379016736719,16.452663898468018
mmmm_2,3602.6330363326715,16.937050104141235
mmmm_3,3253.9020568670617,16.312033891677856
mmmm_4,3677.095919609527,17.140170097351074
mmmm_5,3586.6706954131405,17.06201982498169
mmmm_6,3686.8195233048964,17.20264220237732
mmmm_7,3124.9989430709097,15.483967065811157
mmmm_8,3567.271325290418,14.312142133712769
mmmm_9,3234.9771222209,13.82774305343628
mmmp_1,54478.03860003734,14.171492099761963
mmmp_1,49743.90342349313,13.780869960784912
mmmp_2,62214.759757881155,13.609047889709473
mmmp_3,55833.0011809929,13.921509027481079
mmmp_4,48171.533064124014,14.23396897315979
mmmp_5,44664.23185669079,14.062097072601318
mmmp_6,51840.92326874018,13.952745914459229
mmmp_7,46077.13407171302,14.59340500831604
mmmp_8,53914.48228802098,14.23396110534668
mmmp_9,49096.068190504535,15.858994960784912
mmpm_1,3556.3018742821782,16.733849048614502
mmpm_1,3997.901916485549,17.82763695716858
mmpm_2,3971.089617995083,17.062044143676758
mmpm_3,3873.9888426713705,17.43703293800354
mmpm_4,3470.3936583713166,16.937045097351074
mmpm_5,3680.952053306516,17.06201696395874
mmpm_6,3168.6256292459307,17.530766010284424
mmpm_7,3647.3869220011525,14.624547004699707
mmpm_8,3505.737820640775,14.999592065811157
mmpm_9,3425.473425002326,14.733997106552124
mmpp_1,55609.04317254102,14.04649305343628
mmpp_1,57259.422649186374,15.421440839767456
mmpp_2,51138.28251312045,14.187121152877808
mmpp_3,53283.49383747441,14.95271897315979
mmpp_4,53451.0648375645,15.265247106552124
mmpp_5,48784.468671621915,15.296414136886597
mmpp_6,50255.806575111776,13.468397855758667
mmpp_7,48839.725683548386,16.108945846557617
mmpp_8,52545.59791688976,17.327631950378418
mmpp_9,49039.87676281982,18.546430826187134
mpmm_1,1580.976376364712,17.35885214805603
mpmm_1,1398.7919989284026,18.48389196395874
mpmm_2,1517.247510210235,18.827609062194824
mpmm_3,1796.7624877893627,18.811989068984985
mpmm_4,1809.005994274904,19.249480962753296
mpmm_5,1872.6088454606231,16.43704891204834
mpmm_6,1641.9601459576459,15.749632120132446
mpmm_7,1566.674417635201,16.187052011489868
mpmm_8,1670.9390368461466,15.702664852142334
mpmm_9,1507.8010258570298,15.655816078186035
mpmp_1,24325.668586415963,15.640234231948853
mpmp_1,22751.705175517458,16.202648878097534
mpmp_2,22514.86444190991,16.53085708618164
mpmp_3,22281.081279079484,16.171401023864746
mpmp_4,16174.711772534265,16.108949899673462
mpmp_5,21847.41017881304,17.374535083770752
mpmp_6,28838.159582487,18.624486923217773
mpmp_7,22242.79309697863,17.687035083770752
mpmp_8,26174.792002857565,17.593261003494263
mpmp_9,19811.711387325515,18.468219995498657
mppm_1,1445.0572119771582,18.68698501586914
mppm_1,1727.52373628052,18.58006501197815
mppm_2,1545.1571631338327,16.65581703186035
mppm_3,2095.601908981473,17.187011003494263
mppm_4,1343.566966230794,16.718319177627563
mppm_5,1305.825618517386,17.046451091766357
mppm_6,1471.7590431944823,16.12452983856201
mppm_7,1606.6316650155081,15.37456488609314
mppm_8,1729.221700347099,15.921471118927002
mppm_9,1497.9727564394486,16.59328317642212
mppp_1,24726.32567391494,16.046441793441772
mppp_1,21619.475820065774,15.968315839767456
mppp_2,29922.362574207014,15.905817031860352
mppp_3,26807.218788498987,17.98389196395874
mppp_4,24297.867565787034,19.233803033828735
mppp_5,24921.990943125715,18.140111923217773
mppp_6,34898.782579305436,18.483884811401367
mppp_7,25871.971585866115,17.834702014923096
mppp_8,28703.706480686575,18.999484062194824
mppp_9,22029.855821012556,21.046304941177368
pmmm_1,7400.273362419751,39.686420917510986
pmmm_1,7729.745150171682,40.82701086997986
pmmm_2,7574.151487935105,39.90509605407715
pmmm_3,6605.881779987407,38.59274888038635
pmmm_4,7272.307999786134,44.3112850189209
pmmm_5,7048.588159380708,46.7018780708313
pmmm_6,8219.66586186522,40.96759581565857
pmmm_7,7286.973536086039,41.92073702812195
pmmm_8,7480.686947108763,38.79584288597107
pmmm_9,7466.142905125826,35.84277105331421
pmmp_1,121730.44353795492,37.32710313796997
pmmp_1,106694.16950772672,41.59329700469971
pmmp_2,116980.39972015936,41.60824108123779
pmmp_3,115854.55563920496,43.71757984161377
pmmp_4,102820.26015715861,43.248806953430176
pmmp_5,115917.78197300696,36.59277606010437
pmmp_6,119260.03174392322,39.95203900337219
pmmp_7,113585.0959244459,37.37397503852844
pmmp_8,116418.18080736094,39.26456689834595
pmmp_9,125364.48737408455,45.90504288673401
pmpm_1,7379.699296287378,51.732969999313354
pmpm_1,8085.148416343274,47.936194896698
pmpm_2,7843.466923291233,43.717592000961304
pmpm_3,7424.915006150967,42.373804807662964
pmpm_4,7436.390130800033,41.46766805648804
pmpm_5,7303.46529169361,51.404860973358154
pmpm_6,8426.861693380482,48.592463970184326
pmpm_7,7410.525795349346,50.96736788749695
pmpm_8,7920.885685130523,44.28005003929138
pmpm_9,7498.263491118121,45.70191287994385
pmpp_1,103237.94969289919,44.23318314552307
pmpp_1,108182.42254368286,42.54573202133179
pmpp_2,105829.64837805662,47.608072996139526
pmpp_3,117825.29887779335,49.139297008514404
pmpp_4,109930.86502011199,49.889270067214966
pmpp_5,109664.46021411271,42.170737981796265
pmpp_6,112390.06248308763,46.06125497817993
pmpp_7,109551.32993237177,40.09266710281372
pmpp_8,108480.735633543,46.295650005340576
pmpp_9,99021.57535824242,49.71738791465759
ppmm_1,4529.1631427439825,60.42025899887085
ppmm_1,5587.179391738668,54.20165801048279
ppmm_2,5320.440844668897,53.295411825180054
ppmm_3,5409.656065871283,49.81115698814392
ppmm_4,4758.641132258746,64.37327814102173
ppmm_5,5024.249892683178,70.09184312820435
ppmm_6,4292.4990194352795,53.342324018478394
ppmm_7,5112.086537887358,54.82665777206421
ppmm_8,6058.9746820637665,54.529759883880615
ppmm_9,5356.496174325797,56.014074087142944
ppmp_1,68998.79617707944,59.045291900634766
ppmp_1,79044.44669318509,58.5453040599823
ppmp_2,65588.85437142599,55.23285102844238
ppmp_3,76039.083001367,50.76427221298218
ppmp_4,69803.81951128127,52.98292112350464
ppmp_5,79818.14186965187,59.23277497291565
ppmp_6,71448.24919472117,61.342066049575806
ppmp_7,53885.70710435187,59.467145919799805
ppmp_8,77467.53953124167,51.09237098693848
ppmp_9,77801.56117060238,50.29558205604553
pppm_1,5058.645131904884,64.99824404716492
pppm_1,5374.5107411922845,59.8265118598938
pppm_2,5044.45414052254,51.42048692703247
pppm_3,4828.255573004922,51.24862504005432
pppm_4,5156.9558127590135,55.232877016067505
pppm_5,4842.368434017295,58.18590497970581
pppm_6,5259.751626308946,63.10763502120972
pppm_7,5196.85792331284,59.326486110687256
pppm_8,5398.965473898535,53.17043089866638
pppm_9,5117.3960070192525,50.061201095581055
pppp_1,67809.52267725096,56.45154905319214
pppp_1,89462.45345393715,59.201579093933105
pppp_2,69549.00537119167,61.29521703720093
pppp_3,85857.358794477,59.217129945755005
pppp_4,74331.10117243847,53.98288607597351
pppp_5,80590.24593869929,56.560970067977905
pppp_6,76748.00244895481,62.545149087905884
pppp_7,75560.67200402045,55.748483180999756
pppp_8,76069.53080899172,52.73290801048279
pppp_9,66528.52613404459,55.764134883880615
