Problem,Objective Function,Solution Time,Best Bound
mmmm_1,3787.762,4.17,
mmmm_10,3336.379,4.28,3336.3790
mmmm_2,3602.633,3.08,
mmmm_3,3253.902,13.56,3253.9021
mmmm_4,3677.096,3.00,
mmmm_5,3586.671,6.66,
mmmm_6,3686.82,7.06,
mmmm_7,3124.999,13.52,3124.9989
mmmm_8,3567.271,7.61,
mmmm_9,3234.977,10.09,
mmmp_1,54478.04,9.61,
mmmp_10,49743.9,7.09,
mmmp_2,62214.76,4.83,
mmmp_3,55833,10.22,55833.0012
mmmp_4,49676.59,15.53,
mmmp_5,44664.23,6.16,
mmmp_6,51840.92,11.86,51840.9233
mmmp_7,46077.13,2.69,
mmmp_8,53914.48,7.52,53914.4823
mmmp_9,49096.07,8.63,
mmpm_1,3763.75,10.13,3764.3718
mmpm_10,4172.403,19.11,4173.2042
mmpm_2,4144.238,4.52,4144.8120
mmpm_3,4037.859,9.33,4038.7842
mmpm_4,3678.544,15.33,3679.0437
mmpm_5,3928.861,1199.91,3931.7701
mmpm_6,3403.59,311.11,3404.1342
mmpm_7,3851.672,166.28,3852.1506
mmpm_8,3692.621,193.70,3693.1593
mmpm_9,3610.277,314.61,3610.8487
mmpp_1,58409.53,5.20,58421.0381
mmpp_10,59531.7,10.81,59549.1255
mmpp_2,54030.83,21.91,54046.4058
mmpp_3,55967.08,1200.55,56023.5889
mmpp_4,56350.32,21.42,56371.5905
mmpp_5,50982.07,2.36,50988.4430
mmpp_6,52800.96,0.45,
mmpp_7,51408.48,12.36,51434.5519
mmpp_8,55067.74,36.08,55076.7873
mmpp_9,52764.93,256.88,52775.4164
mpmm_1,1230.118,1200.06,3084.5314
mpmm_10,1060.768,1199.70,2290.7696
mpmm_2,992.8166,1198.83,2784.8699
mpmm_3,1338.453,1199.67,3309.9770
mpmm_4,1318.054,1199.70,3459.1131
mpmm_5,987.5372,1198.67,3577.7617
mpmm_6,866.4644,1200.17,2553.2868
mpmm_7,7.474751e-14,1198.80,
mpmm_8,0,1199.66,
mpmm_9,0,1199.63,
mpmp_1,20305,1199.70,42334.5469
mpmp_10,0,1200.31,
mpmp_2,13002.23,1199.75,50807.8661
mpmp_3,21479.16,1200.64,45836.1624
mpmp_4,15138.03,1199.74,30078.4359
mpmp_5,24002.19,1199.70,41069.1989
mpmp_6,0,1198.89,
mpmp_7,17243.67,1199.66,35662.4363
mpmp_8,18683.56,1199.81,52381.1357
mpmp_9,14008.47,1199.72,40315.2031
mppm_1,1425.579,1199.30,2446.6244
mppm_10,569.1467,1199.73,3474.9439
mppm_2,1543.815,1199.72,2969.9943
mppm_3,1991.256,1198.80,3125.5515
mppm_4,494.2582,1199.64,3048.1481
mppm_5,1187.244,1199.73,2501.0017
mppm_6,1248.332,1199.02,2636.5931
mppm_7,1474.445,1199.75,2921.5827
mppm_8,700.4763,1200.28,2964.7647
mppm_9,1446.367,1199.72,2016.6153
mppp_1,20146.38,1199.83,43793.1579
mppp_10,23865.64,1199.11,46874.4467
mppp_2,27882.11,1199.70,47141.5398
mppp_3,22498.05,1199.11,44680.2176
mppp_4,20952.95,1199.67,42208.0362
mppp_5,25225.41,1199.69,43968.0116
mppp_6,31490.02,1199.74,56824.5361
mppp_7,24545.49,1199.69,40075.8334
mppp_8,18249.2,1198.55,57628.2281
mppp_9,9854.857,1199.67,40914.7049
pmmm_1,7400.273,184.72,7400.2734
pmmm_10,7729.745,105.86,
pmmm_2,7574.151,143.50,
pmmm_3,6605.882,390.02,6605.8818
pmmm_4,7272.308,310.20,7272.3080
pmmm_5,7048.588,63.25,
pmmm_6,8219.666,172.63,
pmmm_7,7286.974,340.28,7286.9735
pmmm_8,7480.687,89.47,
pmmm_9,7466.143,166.94,7466.1429
pmmp_1,121730.4,328.36,
pmmp_10,106694.2,88.03,
pmmp_2,116980.4,216.78,116980.3997
pmmp_3,115854.6,161.14,
pmmp_4,104134.3,285.48,
pmmp_5,116856.6,128.42,116856.6231
pmmp_6,119260,300.55,119260.0317
pmmp_7,113585.1,146.78,
pmmp_8,116418.2,143.80,
pmmp_9,125364.5,249.38,125364.4874
pmpm_1,7981.018,15.58,7981.7238
pmpm_10,8615.55,7.06,
pmpm_2,8391.617,9.10,8392.4652
pmpm_3,7942.808,14.91,7943.7201
pmpm_4,7962.329,10.42,
pmpm_5,7872.638,45.81,7873.4426
pmpm_6,8952.683,167.63,8953.6096
pmpm_7,7934.731,7.98,7935.5448
pmpm_8,8444.377,28.78,8445.3732
pmpm_9,8039.641,220.97,8040.4647
pmpp_1,110254.1,7.36,
pmpp_10,115206.1,5.92,
pmpp_2,113736.2,34.11,113749.4072
pmpp_3,125650.8,20.76,125661.7375
pmpp_4,118111.5,80.67,118124.9863
pmpp_5,117145.9,22.19,117163.9969
pmpp_6,120128.6,292.91,120141.6742
pmpp_7,117841.6,22.88,117848.9128
pmpp_8,115529.2,44.33,115539.6855
pmpp_9,105960.4,16.44,105970.4996
ppmm_1,0,1195.80,
ppmm_10,0,1196.33,
ppmm_2,0,1195.73,
ppmm_3,0,1195.38,
ppmm_4,0,1193.09,
ppmm_5,0,1196.25,
ppmm_6,0,1195.09,
ppmm_7,0,1193.77,
ppmm_8,0,1194.70,
ppmm_9,0,1195.58,
ppmp_1,0,1195.63,
ppmp_10,0,1195.99,
ppmp_2,0,1195.70,
ppmp_3,0,1196.84,
ppmp_4,0,1196.36,
ppmp_5,0,1196.16,
ppmp_6,0,1194.77,
ppmp_7,0,1194.38,
ppmp_8,0,1195.08,
ppmp_9,0,1196.28,
pppm_1,0,1194.86,
pppm_10,0,1196.89,
pppm_2,0,1197.91,
pppm_3,0,1194.50,
pppm_4,0,1195.58,
pppm_5,0,1198.50,
pppm_6,0,1195.42,
pppm_7,0,1194.89,
pppm_8,0,1195.28,
pppm_9,0,1194.56,
pppp_1,0,1194.44,
pppp_10,0,1190.94,
pppp_2,0,1191.94,
pppp_3,0,1200.38,
pppp_4,0,1198.66,
pppp_5,0,1196.62,
pppp_6,0,1193.06,
pppp_7,0,1196.00,
pppp_8,0,1195.80,
pppp_9,0,1194.09,